Title,Task_Force,Year_Implemented,Country,Proposal_Summary
"Astronomy for Literacy",2,2016,"Sierra Leone        ","Astronomy for Literacy (AFL) will work to enhance literacy, numeracy and other foundational skills among up to 1250 struggling junior secondary school students in Sierra Leone. It will do this by adapting and developing high quality curriculum resources that are contextually appropriate for this age, ability level, and context. These resources will use astronomy to engage students while building essential skills for further study, work and everyday life."
"Solar System Play",2,2016,"Argentina        ","We want to develop two different games that allow kids to learn about Planetary Systems: for the little ones consists of a board with dice by which they can learn about the structure and characteristics of the Solar System during its route; while for older children we propose a card game that aims to form Planetary Systems from a given star and using planetesimals to obtain planets ."
"Solving Problems and Cosmic Exploration(S.P.A.C.E)",2,2016,"South Africa        ","The Solving Problems and Cosmic Exploration (S.P.A.C.E) is a programme in which participants 'journey' to various locations in our universe and are introduced to different scenarios. Each scenario will pose unique problems and challenges to the participant. It is the role of the participant to utilize problem solving skills and creativity to find solutions. A key condition however will be that the solutions have to be sustainable! The project will utilize science shows, workshops (including robotics and tinkering) and exhibitions. The project will also include study on the understanding and perception held by learners on global warming."
"Touching Space - Accessible Astronomy",2,2016,"United Kingdom        ","The ""Touching Space"" initiative aims to introduce the wonders of our Universe via a range of sensory items, such as meteorites, tactile display boards, braille books, auditory media and even smell. These items, which will integrate with software developed with accessibility in mind, are designed to allow people with a wide range of disabilities to experience space in a way never envisaged before. The project will aim to produce items suitable for wide range of ages, from primary school children through to adults with learning difficulties."
AstroBus-Ethiopia,3,2016,"Ethiopia        ","AstroBus-Ethiopia is a mobile astronomy outreach program that will be carried out by driving a motor vehicle – bus - to different locations in Ethiopia. The project aims to Promote Interest for Astronomy for Astronomy Education and Public outreach (EPO), and stimulate a culture of scientific thinking through the use of exciting astronomy activities. These activities include sky watching, public lectures, simple astronomy experiments and others. We believe this idea is an effective approach to reach out to the general public in a creative and inspiring way for promoting astronomy and in general igniting scientific curiosity which in turn drives socio-economic development in Ethiopia."
"Astronomy with all Senses",3,2016,"Colombia        ","Astronomy with all senses is a traveling exhibition specially design for people with physical disadvantages in order to let them know about astronomy and other space science to inspire them with the wonders of the universe. However, is also a wonderful material for being used with people who has normal abilities because let them know the importance of all senses."
"Community Development Around Timor Observatory",3,2016,"Indonesia        ","This community development project constructs a mutualistic symbiosis between a prospective astronomical observatory in Timor, Indonesia, and its surrounding community. The goal is thriving villages and a successful observatory. The project consists of:
(1) Human Capacity Building with programs on
empowering human resources (e.g. public officers training) and
strengthening school (e.g. teachers training); and (2)
Managing Sustainable Resources with programs on fulfilling
primary needs (water and energy), by education of STEAM (Science Technology Engineering Arts Mathematics) knowledge and skill. The project is conducted by astronomers of Institut Teknologi Bandung and community development experts of Indonesian Institute for Energy Economics."
"Development of Astro Tourism in South West Asia",3,2016,"Armenia Georgia Iran, Islamic Republic of Israel Turkey United Arab Emirates   ","Scientific Tourism Chair of Armenian Institute of Tourism proposed a project for development of Astro Tourism in South West Asian (SWA) region. People usually travel to get acquainted with culture, history, art and architecture of the visited country or city. But why not to add astronomical interest to all that? Why not to visit , observatories, laboratories, science museums, planetariums and archaeastronomical sites. SWA has always been visible to the world due to its science and culture, for continuing this tradition we're willing to create “SWA as AstroLand” tour package by grouping ancient and modern astronomical attractions of the region."
"Sky on a Bike",3,2016,"India        ","We propose an Astronomy Outreach programme – ‘The sky on a Bike’ which will introduce the wonders of the night sky to identified groups of economically disadvantaged and uneducated population in Indian villages with the aim to create scientific temper. Telescopes will be carried on bicycles and set up at locations where public will be gathered. Educators will explain the night sky and show the sky through telescopes, hand out colorful handouts and enact street plays. The objective is to foster a science education and dispel myths, as myths related to celestial events are rampant in many areas of India."
"Astronomy Winter School in India",1,2017,"India Canada South Asia Indonesia Sri Lanka Bangladesh United Arab Emirates Nepal Vietnam","We will run a four day winter school in astronomy for undergraduate university students. Target students are aspiring astronomers or astronomy enthusiasts that are enrolled in other programs. Lectures and hands-on workshops will be led by leading practitioners in the field. A workshop on stellar clusters will also be held on the last day and show students some of the latest developments in research.
A minimum of 50 spaces will be open to students from all countries, and local accommodation and meals will be subsidized. We aim for an inclusive winter school that will encourage and foster regional and gender equity. The event also serves to promote cultural exchange and awareness between students from the developed and developing world, with many Canadian students expected to also attend. Interaction between students and between lecturers and students are high priorities. Career counseling by lecturers through discussion groups and informal interactions is also an important part of the school.
This is one of the largest winter schools in the region and we seek to promote the development of professional astronomers through this event. A secondary goal is to reach the general public in the host city through the organization of a public lecture and panel discussion."
"Big Data in Astronomy: A tool for Social Innovation",1,2017,"Mauritius South Africa (Open to other African Countries)      ","The result of social innovation is all around us. There are signs that social innovations are becoming more and more important. We are submerged by a tsunami of Big Data and data driven innovations. Big Data have been put into practice to help solve social problems. However, small emerging countries in this field are always struggling. This can be due to lack of resources (human and technology) or inadequate use of resources available.
We present a new ecosystem for social innovation through Astronomy education via Big Data Analytics. We look at novel methods for educating University learners about Big Data in Astronomy through an innovative pedagogical Education method. Participants will learn how they can apply their various skills to contribute to the betterment of society. We believe that through education at all levels, we can make a paradigm shift for the future generation to prepare them to face the data driven deluge that will present itself once big Astronomical projects such as the Square Kilometre Array (SKA) and the Large Synoptic Survey Telescope (LSST) come online."
"Guatemalan School of Astrophysics 2017",1,2017,"Guatemala Honduras El Salvador Nicaragua Costa Rica Panama Colombia Mexico Belize","We want to launch the third GUAtemalan School of Astrophysics (GUASA). We aim to organize one of these schools every two years, and due to the great success of the first two, we are optimistic of rising funds for the next edition, which we plan held in Antigua Guatemala in 2017. The school aims to bring together local Central American/Caribbean undergraduate students of physics/mathematics/engeneering, with experts from prestigious astronomical institutions from around the world. During each of the editions, we expect to cover a wide range of modern topics of astrophysics in order to motivate the students to pursue major degrees in astronomy elsewhere. We hope that this school will contribute to create a critical mass of professional astronomers/astrophysicists in the region along with the conditions needed for research, thus leading to the creation of strong astrophysics departments in the Universities of the region. In the future, after a few editions of GUASA, we hope to be able to include lecturers from the local academic community. As a complementary activity of every edition of GUASA, we also want to organize outreach activities for the general public, such as public lectures followed by observations using small telescopes. These activities we hope, will encourage children and teenagers to get closer to science and to continue their studies aiming for superior education."
"Haiti All Sky Camera 2",1,2017,"Haiti        ","The currently funded Haiti All Sky Camera (HASC) project has taken an All Sky camera to Haiti and introduced Haitian college students to astronomy, the python programming language and how to operate this camera using Python. Here we propose to continue to build on the existing infrastructure in a number of ways. We plan to make the telescope more portable by using a Raspberry Pi for the data taking, now making it possible to take the unit into the field powered by a battery! In addition we propose to expand the astronomy/python curriculum, as well as show case the All Sky camera at a number of colleges and high-schools with, including more remote locations without power. Our collaboration between Haitian and U Maryland students continues, as this project is also partially funded via UMD. We also continue to fund one Haitian student at attend the GRAD-MAP winter workshop at U Maryland. Our three partners in Haiti are l'Ecole Superieure d'Infotronique d'Haiti (ESIH), Universite Quisqueya (UNIQ) and College Catts Pressior, as well as a school project in Les Cayes."
"Latin American School of Observational Astronomy 2017",1,2017,"Guatemala Honduras Costa Rica El Salvador Nicaragua Panama Colombia Ecuador Peru and any other Spanish-speaking Latin American country.","In Latin America there is great enthusiasm for astronomy and interest in developing local observatories, but there are few astronomers in some of these countries able to develop new talents. In 2008, members of the Astronomy Institute at the Universidad Nacional Autonoma de Mexico (UNAM) and the Instituto Nacional de Astronomía, Óptica y Electrónica (INAOE) developed a short course including theoretical lectures with nightly observations for undergraduate students with little knowledge of astronomy.
The National Observatory in Tonantzintla hosts the Latin American School of Observational Astronomy to take advantage of its 1m telescope and various smaller telescopes.
The twelve students chosen for the course from the applicants come from various countries in Central and South America. From Monday to Friday during the three-week course, they attend two lectures given by professors from the best universities in Mexico and they learn observational techniques during nightly observing sessions with professional observers. After learning the basics of how to use the equipment, they take part in professional scientific observations which, for the last two years, been published in peer-reviewed journals. The students also learn how to reduce and interpret their data. Since its inception 108 students have completed the course, and many are now doing graduate studies in related fields in Germany, Austria, The Netherlands, Switzerland, the USA, Mexico, Colombia, Honduras, Costa Rica, Chile, among others. The bonds of friendship and collaboration they formed at the school have aided in the creation of networking opportunities in social media sites. These links will aid them and their countries in the future.
"
"Madagascar Astronomy Python Workshop ",1,2017,"Madagascar        ","Madagascar has recently introduced astronomy and astrophysics curriculum at Masters level at the University of Antananarivo. Students come from Physics background have embarked into the programme however there are lack of local expertise to conduct widely used cutting edge tools for research. This workshop will deliver a practical programming in Python for astronomy students (along with a crash course and tips for Physics lecturers). We aim to build on astronomy tools that students / lecturers at the university can develop for their research and teaching therefore will have further impact to the community for a long term basis."
"Revitalizing Astronomy Education and Research in Myanmar Universities",1,2017,"Myanmar        ","The educational system of Myanmar is government-operated. There are 158 Universities in total under the management of Ministry of Education. There are three types of Universities, the Arts and Science Universities including our University (Mandalay University), University of Computer Science and Technological Universities.
Role of Astronomy Education in Myanmar Universities has diminished for decades due to the various reasons. In the old time, there were a number of lecturers who offered astronomy courses in Physics and Mathematics Departments. However, after they got retired, in new generation, there remains very few staff in this field and a small portion of Astronomy is provided in undergraduate course of Mathematics. We are aware of the significance of Astronomy and Astrophysics and would like to revitalize and Promote Interest for Astronomy for Astronomy Education in Myanmar Universities.
Physics Department of Mandalay University will take a leading role in implementing this project since Mandalay University is the oldest University in upper Myanmar and is offering degrees and diplomas including Ph.Ds. We are planning to introduce the basic course of Astronomy and Astrophysics for undergraduate students in coming Academic year 2017. However, the challenging problems encountering in this endeavor are lack of human resources, requirements of refreshing courses for faculty, needs of assistance from expertise for syllabus and curriculum development.
Under this project, 8 members would visit to NARIT in 2017 to develop appropriate syllabus and curriculum for Astronomy in undergraduates with an assistance of NARIT staff. After their return, a workshop on Astronomy education will be held in Mandalay University inviting at least a staff from each University in Myanmar to discuss and approve the syllabus and curriculum.
We hope this project would give us a good opportunity to achieve our goal of revitalizing Astronomy Education in Myanmar University, Myanmar."
"Summer Workshop on Radio Astrophysics, Tonantzintla 2017 (Taller de RadioastrofÃ­sica, Verano Tonantzintla 2017)",1,2017,"Mexico Panama Costa Rica Nicaragua Honduras Quatemala El Salvador Belize Quoted as; (Countries from Central and South America) - but only Mexico was fully specified","The “Summer Workshop on Radio Astrophysics, Tonantzintla 2017” will introduce the topic of Radio Astrophysics to students in the last year of careers in Physics, Astronomy, Engineering, and related fields. The registration will be open to students from Mexican and Central/South American institutions. Our main motivation to promote this specific area is the recent beginning of scientific operation by a new generations of mm-wavelength facilities (e.g. ALMA and the Large Millimeter Telescope, LMT). Particularly, INAOE is currently responsible for the operation of the 50m-LMT, the largest single-dish telescope optimized for observations at mm-wavelengths (1mm), installed in México in collaboration with the U. of Massachusetts, USA.
The workshop is divided in two sections: a first week with lectures presenting the fundamental concepts of radioastronomy, and a second week where each student develops a short project supervised by researchers from the Astrophysics Department of INAOE and, mostly, using LMT data. To address technical aspects of the lectures and support some of the instrumentation projects, we use the 5m historic antenna of the Millimeter Wave Observatory, donated by the U. of Texas to INAOE. A visit to the LMT is included as part of the workshop.
For our latest workshop (summer 2016) we received more than 60 applications from highly qualified students. Fifteen students from different states in Mexico and Central/South America (see: www.inaoep.mx/~tallermmtnt) were accepted to attend the workshop. Unfortunately, costs for transportation had to be covered by the students. Our goal for next 2017 summer workshop at Tonantzintla, México, is to receive 20 students from Latin America with IAU grants to cover their transportation and insurance."
"West African International Summer School for Young Astronomers 2017",1,2017,"West African countries        ","The Ghana Space Science and Technology Institute (GSSTI); which is mandated by Ghana Government to develop space science and technology for socio-economic benefit, is building on the success of Nigeria to organize an introductory summer school in astronomy for teachers, undergraduates, and post-graduate students in West Africa. Planning is ongoing and is at its final stages. The summer school will be held in 23rd July-6th August 2017. The team is currently seeking for fund to help implement this dream.
As Ghana seeks to launch its first VLBI-capable radio telescope in the last quarter of 2016, the summer school comes at the right moment. During the school, there will be lectures and hands-on experience at the Ghana Radio Astronomy Observatory. Students will have the experience of using the radio telescope; and engage in interactive lectures series delivered by Astronomers from SKA–South Africa, DARA project team, Canada, University of Nigeria and University of Ghana.
The establishment of learning goals and assessment metrics will precede every lecture series. Before each session, students will be given opportunity to indicate their goals for participation to ensure that the expectations of students are met. This makes assessment a critical component of the school to ensure that our interventions work before, during, and after the school."
"Active Learning Astronomy for Schools in Haiti",2,2017,"Haiti        ","Haitian elementary schools are seeking new ways to enthuse children about science, so they will grow up better able to engage the outside world on their own terms. College- age Haitian students working with advisors and volunteers from UMass Lowell have developed and tested an activity- based curriculum in astronomy, space, and earth science. The principal and faculty of our partner school in Les Cayes, Haiti are now eager to become a regional center for training teachers to implement active learning practices, and deepen their ability to teach science. The project also aims to connect US children with their Haitian peers."
"Astronomy for all",2,2017,"Brazil Colombia Venezuela Ecuador Peru Bolivia   ","The NEPA/UEA/CNPq [English: Nucleous for Teaching and Research in Astronomy] is a research group located within the International Amazon and has developed actions that respect local knowledge (I refer to the Brazilian Indigenous). In fact, they have a big challenge ahead, namely: to rescue their identity because every day the urban exodus depart indigenous youth of the knowledge and customs of their native culture. To contribute significantly in the social and educational sphere, the NEPA/UEA/CNPq proposes actions related to Astronomy Education in relevance, Indigenous Astronomy. Several teaching resources will be used for young people (from 7 years to 17 years) to rescue the pride of science developed by its people and interest in the study of astronomy, which in this case is linked to rituals. Also in the social and educational level, the NEPA/UEA/CNPq proposes the development of actions that promote scientific literacy of students with Down syndrome. There is still a third audience to be reached: the speaking students in LIBRAS (Brazilian Sign Language). Overall, this proposal is focused on the scientific literacy of young people (indigenous and non-indigenous) and schools that offer regular courses in Basic Education . They are riverine schools, rural schools, urban schools and Indigenous schools, all within the State of Amazonas, Brazil, within the International Amazon. Finally, as the aim is to encourage the study of astronomy for children and schools, we intend to enter Astronomy classes for late youth, ie, meet the young people who are in EJA (Education for Youth and Adults) and the best age (people over 60). The Astronomy Study create awareness of the importance of maintaining a harmonious relationship with nature and respect the planet itself, thereby promoting the quality of life. This proposal is being backed by the PLOAD and Andean ROAD, allowing the exchange of knowledge.
"
"Columba-Hypatia: Astronomy for Peace",2,2017,"Cyprus (Across the Existing Line)        ","“Columba-Hypatia: Astronomy for Peace” is a joint astronomy outreach project by GalileoMobile and the Association for Historical Dialogue and Research (AHDR) which will take place on the divided island of Cyprus. The aim of the project is to use astronomy as a tool for promoting meaningful communication and a Culture of Peace and Non-violence between the various communities living on the divided island. At the same time the project aims to inspire young people, through astronomy, to be curious about the world we live in, about science and the cosmos.
To achieve this, we will conduct activities in schools in the North and South of the border as well as bring the children together at the Home for Cooperation, a neutral space in the United Nations controlled ""buffer zone"", to engage in astronomy activities and explore the cosmos together. This will facilitate the goal of bringing together people from the different communities of Cyprus “under the same sky”, to construct bonds based on similarities, rather than focusing on our differences.
"
"Cosmic Code: First Contact",2,2017,"South Africa Zimbabwe Botswana      ","Coding is the language of the 21st century, where nearly everything in modern society is driven by coding. Astronomy is no exception, where coding is used to explore the universe. Whether it is through telescopes, satellites or robots exploring planets, coding is an essential instrument of astronomy.
The Cosmic Code: First Contact is a project that aims to introduce coding within an astronomy setting to the rural communities of Zululand (and beyond!). Many of these communities have not had any first-hand experience with information technologies, such as computers. This project will serve as the first point of contact, introducing the communities to computers through coding. The programme will entail a workshop in which participants will programme miniature Raspberry Pi robots using Python coding. The workshop begins with developing some of the soft skills of computing and coding through Scratch (pictorial code). From this level the workshop will proceed into using Python coding (written code). By combining the Python coding with Raspberry Pi robots, it allows the participants to see tangible applications of the code they write. This has a direct link to how astronomy uses coding to control planetary exploring robots or orbiting satellites. The programme will be aimed mainly at school children but will also be offered to young adults and the elderly. The Cosmic Code programme will also include a detailed workshop on career advice as to ensure the programme does not simply stop at making people aware of coding but ultimately makes coders of them! The project will engage and partner with other organisations such as Africa Code Week. The programme aims to expand the workshop to other countries such as Botswana and Zimbabwe.
""Coding is today’s language of creativity. All our children deserve a chance to become creators instead consumers of computer science."" - Maria Klawe"
"Hands on Basic Space Science training for Primary and Junior Secondary School Science Teachers",2,2017,"Nigeria        ","HBSST is a workshop designed to Promote Interest for Astronomy for Astronomy appreciation for primary schools and junior secondary school science teachers in Nigeria and to bring the basic observational tools of Astronomy and space science closer to them.
In 2015, through the effort of the Centre for Basic Space Science Nsukka, in Nigeria, Astronomy has recently been accredited in the primary and Secondary School Teaching Curriculum. This would be a unique opportunity to offer specialized training in Astronomy to teachers, since education at primary school and secondary school level is in a developing state. Astronomy unawareness will cause serious harm to technological society, thus our younger generation and the teachers should be exposed to this interesting field of science.
In Africa, especially Nigerian, we have myth, superstitious beliefs, anxiety, fear, misconception etc relating to many astronomical events, and to eradicate all these misconceptions, we need a strong science movement through Astronomical popularization/workshops at the grass root level. These teacher hands on training will aim at upgrading the skills, teaching tools and aids of these teachers, equipping them with innovative and simple method of teaching and learning. The teachers will also be trained to use Basic Space Sciences activities as a teaching tool for their subject’s concepts. The course material will include Astronomy based activities and hands on science/astronomy using low cost/locally available material. The 3-day workshop which we intend to carry out to cover Teachers from all Primary and Secondary School Nigeria, will encompass talks, hands on activities, demonstrations, Water rocket building and launching, Construction of small optical Telescopes using locally made materials, observation using a small optical telescope, Eclipse and Solar system model making, planetarium, Solarscope, Experiments and demonstrations using Universe in a Box apparatus, group work and innovation as well as public outreach.
"
"Looking ...Up! Astronomy for ALL",2,2017,"Greece        ","The project “Looking ...Up! Astronomy for All” (Up4All) aims to promote inclusive astronomy education. In order the project’s goal to be achieved Up4All will organize the follow activities: a) open to public Observational Days in Special Education Schools (in the wider region of Thessaloniki/ Central Makedonia / Greece) , b) Workshops for Teachers on how Astronomy can be integrated in terms of formal and non-formal learning, using innovative teaching tools and c) Workshop for teachers on creating educational astronomical videos.
A numerous of Special Education Schools will be the center of the open to public Observational Days bringing together students of typical development and students with special educational needs and/or disabilities and also of fun hands-on activities – like treasure hunt, tablets, “Meet our neighbours ” from astroedu, “Barycentric Balls” from ESA, etc– will be implemented engaging students with core concepts of astronomy while having fun.
Moreover, in order to highlight the need of integrate innovative teaching of the Astronomy in the curriculum and to give to teachers all the tools necessary for integrating Astronomy on their educational scenario, two types of Workshops will be held: a) Workshop for Teachers (in Greek) in parallel of Observational Days at Special Education Schools and b)Two (2), two-days Workshops for Teachers (in English), one on Media in science teaching practice – Movies on Astronomy at School and one on Video – software & apps / Video & Astronomy.
“Looking ...Up! Astronomy for All” project will be implemented with the collaboration of NUCLIO (http://nuclio.org), Greek Educational Radio-Television (EduTV - http://www.edutv.gr/) and INCLUDE (http://include-edu.blogspot.gr/p/include-s-cv.html) as coordinator, as well with the participation of distinguished European Teachers and Scientists. Finally, we want our project to be a 'pilot' and to spread the knowledge gained / to other countries eg Croatia, Spain, Portugal., etc, looking for potential collaborators.
"
"Astrobabies: Astronomy in early childhood",3,2017,"Colombia        ","Astrobabies is an initiative of the Planetarium of Bogota aims to bring to the boys and girls of 0 to 3 years to knowledge, skills and attitudes of science, specifically the Astronomy, astronautics and related sciences through music, playful and sensorial, working hand in hand with the families and the institutions that are responsible for working with the Early Childhood.
"
"Gaza Ambassadors of Universe",3,2017,"State of Palestine / Gaza Strip        ","Astronomy gives us a chance to travel through the sky and to strongly break down the siege. As Palestinian youth we want to give our people hope, passion, and desire to live. We aim to raise awareness of astronomy knowledge in our society through an organized challenges that excites the astronomical passion, and love inside astronomy amateur’s heart. We will integrate technology, the jewel of the time, with Astronomy through a three-day boot camp challenge between 40 astronomy-related ideas. International and local mentors will select the best three ideas in order to be incubated for an intensive astronomical workshops implemented by the organizers."
"Naval Hill Planetarium: Context-approrpriate Content Development Project",3,2017,"South Africa        ","The Naval Hill Planetarium is presently the only digital planetarium in South Africa. Planetarium patrons come from vastly diverse socio-economic and cultural backgrounds. In order to make pre-rendered shows (typically produced in developed countries in the northern hemisphere) accessible and relevant, we need to produce supporting full dome planetarium content and translate existing content so that we have at least two full dome films in two indigenous languages which include Sesotho. We also need to develop our own original content. The project will focus on developing new content that will be culturally relevant and speak to the needs of the local population and also focus on Southern African astronomical projects of international stature. In addition, the project will ensure that we develop the capacity (human resources) to produce our own content in the future, thereby making us less reliant on very expensive licenses, and keeping our planetarium offerings fresh. The Iziko Planetarium in Cape Town will soon be upgraded to house a similar digital planetarium projection system as that of the Naval Hill Planetarium. Thus, any planetarium content that we develop that appeals to the South African context has the potential to be used in the Iziko Planetarium as well as our planetarium. We have for example already produced an Afrikaans sound track for the ESO full dome film From the Earth to the Universe. Staff from the Iziko Planetarium indicated that they will find this very useful. The next step, as part of this project, is to produce a Sesotho and possibly also a Xhosa sound track for this film."
"Open Design Dark Sky Simulator",3,2017,"Globally        ","The idea is to design a physical simulator that will demonstrate the effects of light pollution on the sky and the difference that well-designed lighting will make. The simulator will consist of a LED-based board and a number of light fixtures varying from full-cutoff dark-sky friendly lights to completely unshielded lights. The board, which can be flat or curved depending on space requirements, will simulate the night sky using LED’s of variable brightness, simulating stars of various magnitudes and constellation patterns. The board will be illuminated by the light fixtures and users can use buttons to switch between light fixtures as well as increase or decrease light intensity. This will create a first-hand experience for demonstrating the effect of light pollution as different light fixtures will have different effect on the number of stars visible. The simulator can be used in exhibition halls, conferences, science museums or any other place where light pollution effects can be demonstrated. This physical simulator can provide superior experience for visitors in relation to videos/posters or other usual methods of exhibiting light pollution effects. The purpose is not to create a single simulator but to provide to the public the full instructions including materials needed, dimensions, programming code, electrical wiring etc. so anyone interested can build such a simulator in their local community. Emphasis will be given on using readily available materials that exist in households or that can be purchased at minimal price so everyone can construct at minimal cost.
"
"The Brazilian Network for Astronomical News",3,2017,"Brazil Portugal  Angola Cape Verde Macau Mozambique Guinea-Bissau Equatorial Guinea Quoted as: ""Intend to reach to all Portuguese-speaking countries through the PLOAD in a possible international collaboration with Mozambique, Angola and Cape Verde, for example."" - Only Brazil was specified","We have established a national network of astronomers interested in public outreach to act as liaison between Brazilian astronomers and the press. The members actively pursue the appearance of national research in the press in order to counter the unbalanced coverage of international astronomy-related news; this in turn will bring greater attention to our science and potentially stimulate more students to pursue an academic career. All material will be made available at the Portuguese Language Expertise Centre for the OAD (PLOAD), in the hopes that the project reach can be extended to other Portuguese-speaking countries."
